Model,Tokenizer Type,Vocabulary Size,Special Tokens
Qwen/Qwen2.5-1.5B-Instruct,Qwen2TokenizerFast,151643,"{'eos_token': '<|im_end|>', 'pad_token': '<|endoftext|>', 'additional_special_tokens': ['<|im_start|>', '<|im_end|>', '<|object_ref_start|>', '<|object_ref_end|>', '<|box_start|>', '<|box_end|>', '<|quad_start|>', '<|quad_end|>', '<|vision_start|>', '<|vision_end|>', '<|vision_pad|>', '<|image_pad|>', '<|video_pad|>']}"
meta-llama/Llama-3.1-405B,PreTrainedTokenizerFast,128000,"{'bos_token': '<|begin_of_text|>', 'eos_token': '<|end_of_text|>'}"
openai-community/gpt2,GPT2TokenizerFast,50257,"{'bos_token': '<|endoftext|>', 'eos_token': '<|endoftext|>', 'unk_token': '<|endoftext|>'}"
google/gemma-2-2B,GemmaTokenizerFast,256000,"{'bos_token': '<bos>', 'eos_token': '<eos>', 'unk_token': '<unk>', 'pad_token': '<pad>', 'additional_special_tokens': ['<start_of_turn>', '<end_of_turn>']}"
bigscience/bloomz-560m,BloomTokenizerFast,250680,"{'bos_token': '<s>', 'eos_token': '</s>', 'unk_token': '<unk>', 'pad_token': '<pad>'}"
facebook/opt-125m,GPT2TokenizerFast,50265,"{'bos_token': '</s>', 'eos_token': '</s>', 'unk_token': '</s>', 'pad_token': '<pad>'}"
distilbert/distilgpt2,GPT2TokenizerFast,50257,"{'bos_token': '<|endoftext|>', 'eos_token': '<|endoftext|>', 'unk_token': '<|endoftext|>'}"
meta-llama/Meta-Llama-3-8B-Instruct,N/A,N/A,N/A
mistralai/Mistral-7B-Instruct-v0.2,LlamaTokenizerFast,32000,"{'bos_token': '<s>', 'eos_token': '</s>', 'unk_token': '<unk>'}"
microsoft/Phi-3-mini-4k-instruct,LlamaTokenizerFast,32000,"{'bos_token': '<s>', 'eos_token': '<|endoftext|>', 'unk_token': '<unk>', 'pad_token': '<|endoftext|>'}"
